INFO:root:6006000
INFO:root:6006000
INFO:root:No: 1	GFLOPS: 1.33/1.33	result: MeasureResult(costs=(0.153770785, 0.153987047, 0.154272392), error_no=0, all_cost=2.931459903717041, timestamp=1529035040.830899)	[('tile_y', [128, 98, 2, 1]), ('tile_x', [64, 32, 2, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 512), ('unroll_explicit', 0)],,x768601cb,1040642
INFO:root:No: 136	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008224964141845703, timestamp=1529035118.524219)	[('tile_y', [2, 16, 98, 8]), ('tile_x', [4096, 1, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,1120
INFO:root:No: 137	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:39] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:39] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5671160221099854, timestamp=1529035119.091635)	[('tile_y', [28, 4, 14, 16]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3552
INFO:root:No: 138	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008562803268432617, timestamp=1529035119.108796)	[('tile_y', [2, 8, 112, 14]), ('tile_x', [256, 16, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,10066
INFO:root:No: 139	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:39] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:39] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.7634668350219727, timestamp=1529035119.872588)	[('tile_y', [28, 64, 2, 7]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3046
INFO:root:No: 140	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:40] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:40] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6141340732574463, timestamp=1529035120.495327)	[('tile_y', [28, 16, 2, 28]), ('tile_x', [4096, 1, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,1432
INFO:root:No: 141	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:41] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:41] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5172939300537109, timestamp=1529035121.021214)	[('tile_y', [196, 1, 32, 4]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2932
INFO:root:No: 142	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:41] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:41] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.8301901817321777, timestamp=1529035121.85997)	[('tile_y', [16, 392, 2, 2]), ('tile_x', [128, 32, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,11374
INFO:root:No: 143	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:42] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:42] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5838291645050049, timestamp=1529035122.452397)	[('tile_y', [4, 98, 64, 1]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2422
INFO:root:No: 144	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:42] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:42] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5158350467681885, timestamp=1529035122.974706)	[('tile_y', [1568, 1, 16, 1]), ('tile_x', [256, 16, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,8940
INFO:root:No: 145	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:43] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:43] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5648820400238037, timestamp=1529035123.546642)	[('tile_y', [128, 98, 2, 1]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2242
INFO:root:No: 146	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:44] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:44] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5968899726867676, timestamp=1529035124.149998)	[('tile_y', [14, 2, 7, 128]), ('tile_x', [128, 32, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,12934
INFO:root:No: 147	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:44] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:44] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5616300106048584, timestamp=1529035124.718096)	[('tile_y', [8, 4, 1, 784]), ('tile_x', [512, 8, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,8716
INFO:root:No: 148	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:45] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:45] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6297760009765625, timestamp=1529035125.354381)	[('tile_y', [14, 28, 16, 4]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2914
INFO:root:No: 149	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:45] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:45] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5235991477966309, timestamp=1529035125.884453)	[('tile_y', [49, 2, 256, 1]), ('tile_x', [512, 8, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,6874
INFO:root:No: 150	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:46] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:46] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5671639442443848, timestamp=1529035126.458055)	[('tile_y', [49, 64, 8, 1]), ('tile_x', [128, 32, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,11112
INFO:root:No: 151	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008736133575439453, timestamp=1529035126.473292)	[('tile_y', [1, 2, 2, 6272]), ('tile_x', [512, 8, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,8794
INFO:root:No: 152	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:47] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:47] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.8083069324493408, timestamp=1529035127.28194)	[('tile_y', [56, 4, 28, 4]), ('tile_x', [128, 32, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,11722
INFO:root:No: 153	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:47] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:47] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5315120220184326, timestamp=1529035127.819928)	[('tile_y', [16, 8, 98, 2]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2728
INFO:root:No: 154	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:48] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:48] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5120329856872559, timestamp=1529035128.338433)	[('tile_y', [98, 1, 32, 8]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3292
INFO:root:No: 155	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008182048797607422, timestamp=1529035128.353128)	[('tile_y', [1, 32, 392, 2]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2772
INFO:root:No: 156	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:48] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:48] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6289119720458984, timestamp=1529035128.982342)	[('tile_y', [112, 16, 14, 1]), ('tile_x', [128, 32, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,11128
INFO:root:No: 157	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:49] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:49] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.568821907043457, timestamp=1529035129.557664)	[('tile_y', [28, 4, 8, 28]), ('tile_x', [4096, 1, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,1462
INFO:root:No: 158	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.00821995735168457, timestamp=1529035129.572396)	[('tile_y', [8, 1, 1568, 2]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2788
INFO:root:No: 159	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:50] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:50] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.7497708797454834, timestamp=1529035130.322469)	[('tile_y', [4, 16, 4, 98]), ('tile_x', [128, 32, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,12828
INFO:root:No: 160	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:50] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:50] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5292079448699951, timestamp=1529035130.858176)	[('tile_y', [196, 2, 4, 16]), ('tile_x', [4096, 1, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,1318
INFO:root:No: 161	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008476972579956055, timestamp=1529035130.873724)	[('tile_y', [1, 8, 16, 196]), ('tile_x', [256, 16, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,10780
INFO:root:No: 162	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:51] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:51] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5425939559936523, timestamp=1529035131.416643)	[('tile_y', [16, 8, 49, 4]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2944
INFO:root:No: 163	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:52] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:52] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6514289379119873, timestamp=1529035132.074549)	[('tile_y', [49, 1, 32, 16]), ('tile_x', [256, 16, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,10174
INFO:root:No: 164	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:52] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:52] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5261178016662598, timestamp=1529035132.607174)	[('tile_y', [28, 8, 56, 2]), ('tile_x', [4096, 1, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,508
INFO:root:No: 165	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:53] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:53] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5601260662078857, timestamp=1529035133.173805)	[('tile_y', [7, 1, 224, 16]), ('tile_x', [512, 8, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,8002
INFO:root:No: 166	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008253812789916992, timestamp=1529035133.188547)	[('tile_y', [4, 1, 1568, 4]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3010
INFO:root:No: 167	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:53] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:53] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5951979160308838, timestamp=1529035133.784045)	[('tile_y', [14, 32, 2, 28]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3634
INFO:root:No: 168	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:54] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:54] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6274361610412598, timestamp=1529035134.417983)	[('tile_y', [32, 14, 4, 14]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3388
INFO:root:No: 169	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:55] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:55] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.675105094909668, timestamp=1529035135.099579)	[('tile_y', [32, 56, 1, 14]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3358
INFO:root:No: 170	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:55] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:55] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6024508476257324, timestamp=1529035135.70854)	[('tile_y', [16, 392, 2, 2]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,2574
INFO:root:No: 171	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:56] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:56] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6313149929046631, timestamp=1529035136.346358)	[('tile_y', [56, 7, 4, 16]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3520
INFO:root:No: 172	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:57] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:57] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6872429847717285, timestamp=1529035137.04012)	[('tile_y', [28, 4, 28, 8]), ('tile_x', [512, 8, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,7684
INFO:root:No: 173	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:57] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:57] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5181419849395752, timestamp=1529035137.564752)	[('tile_y', [64, 1, 49, 8]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3298
INFO:root:No: 174	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008222103118896484, timestamp=1529035137.579466)	[('tile_y', [1, 112, 32, 7]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3132
INFO:root:No: 175	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:58] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:58] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.6131141185760498, timestamp=1529035138.192883)	[('tile_y', [8, 7, 16, 28]), ('tile_x', [512, 8, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,8080
INFO:root:No: 176	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:59] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:59] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.8443739414215088, timestamp=1529035139.043761)	[('tile_y', [49, 64, 1, 8]), ('tile_x', [1024, 4, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,5392
INFO:root:No: 177	GFLOPS: 0.00/18.04	result: MeasureResult(costs=(TVMError('TVMCall CFunc Error:\nTraceback (most recent call last):\n  File "/home/jian/tvm/python/tvm/_ffi/_ctypes/function.py", line 54, in cfun\n    rv = local_pyfunc(*pyargs)\n  File "/home/jian/autotvm/python/autotvm/measure/measure_methods.py", line 266, in verify_pass\n    raise InstantiationError("invalid cuda kernel")\nInstantiationError: invalid cuda kernel\n',),), error_no=2, all_cost=0.008419036865234375, timestamp=1529035139.059299)	[('tile_y', [1, 7, 64, 56]), ('tile_x', [256, 16, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,10540
INFO:root:No: 178	GFLOPS: 0.00/18.04	result: MeasureResult(costs=RuntimeError('[20:58:59] /home/jian/tvm/src/runtime/module_util.cc:52: Check failed: ret == 0 (-1 vs. 0) [20:58:59] /home/jian/tvm/src/runtime/cuda/cuda_module.cc:195: CUDALaunch Error: CUDA_ERROR_OUT_OF_MEMORY',), error_no=4, all_cost=0.5432958602905273, timestamp=1529035139.602927)	[('tile_y', [512, 1, 1, 49]), ('tile_x', [2048, 2, 1, 1]), ('tile_r', [1, 1, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],,x768601cb,3808
